model name:Plate_with_square_hole_Example
No. of elements:                      453
No. of Degrees of freedom:            996

=========================================================================================================================

Sum of loads x-direction:        5.00e+04
Sum of loads y-direction:        8.28e-27
Sum of loads z-direction:       -1.38e+01

=========================================================================================================================

      load      disp     p/fcd    eps_cc    eps_ct     eps_s
  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
  2.48e-02  9.43e-04 -1.19e-02  0.00e+00  6.92e-06  6.89e-06
  2.86e-02  1.10e-03 -1.38e-02  0.00e+00  1.34e-05  1.33e-05
  3.12e-02  1.22e-03 -1.53e-02  0.00e+00  1.88e-05  1.88e-05
  3.31e-02  1.34e-03 -1.66e-02  0.00e+00  2.33e-05  2.32e-05
  3.35e-02  1.37e-03 -1.69e-02  0.00e+00  2.38e-05  2.38e-05
  3.38e-02  1.40e-03 -1.72e-02  0.00e+00  2.38e-05  2.38e-05
  3.41e-02  1.42e-03 -1.74e-02  0.00e+00  2.38e-05  2.38e-05
  3.43e-02  1.46e-03 -1.77e-02  0.00e+00  2.38e-05  2.38e-05
  3.45e-02  1.49e-03 -1.80e-02  0.00e+00  2.38e-05  2.38e-05
  3.47e-02  1.53e-03 -1.82e-02  0.00e+00  2.38e-05  2.38e-05
  3.21e-05  1.55e-03 -1.83e-02  0.00e+00  2.38e-05  2.38e-05
  5.30e-05  1.56e-03 -1.84e-02  0.00e+00  2.38e-05  2.38e-05
  7.06e-05  1.58e-03 -1.85e-02  0.00e+00  2.38e-05  2.38e-05
  8.74e-05  1.59e-03 -1.85e-02  0.00e+00  2.38e-05  2.38e-05
  1.06e-04  1.61e-03 -1.86e-02  0.00e+00  2.38e-05  2.38e-05
  1.24e-04  1.64e-03 -1.87e-02  0.00e+00  2.38e-05  2.38e-05
  1.27e-04  1.65e-03 -1.88e-02  0.00e+00  2.38e-05  2.38e-05
  1.29e-04  1.66e-03 -1.88e-02  0.00e+00  2.38e-05  2.38e-05
  1.31e-04  1.68e-03 -1.88e-02  0.00e+00  2.38e-05  2.38e-05
  1.33e-04  1.69e-03 -1.88e-02  0.00e+00  2.38e-05  2.38e-05
 -2.60e-05  1.70e-03 -1.88e-02  0.00e+00  2.38e-05  2.38e-05
  4.35e-05  1.72e-03 -1.88e-02  0.00e+00  2.38e-05  2.38e-05
 -2.78e-05  1.75e-03 -1.88e-02  0.00e+00  2.38e-05  2.38e-05
 -2.97e-06  1.77e-03 -1.88e-02  0.00e+00  2.38e-05  2.38e-05
 -4.34e-06  1.80e-03 -1.89e-02  0.00e+00  2.38e-05  2.38e-05
 -5.29e-06  1.83e-03 -1.89e-02  0.00e+00  2.38e-05  2.38e-05
 -6.27e-06  1.87e-03 -1.89e-02  0.00e+00  2.38e-05  2.38e-05
 -6.21e-06  1.92e-03 -1.89e-02  0.00e+00  2.38e-05  2.38e-05
 -4.11e-06  1.97e-03 -1.90e-02  0.00e+00  2.57e-05  2.57e-05
 -1.73e-07  2.04e-03 -1.90e-02  0.00e+00  2.87e-05  2.87e-05
  4.57e-06  2.12e-03 -1.91e-02  0.00e+00  3.22e-05  3.22e-05
